Place_Name,State_Name,Language spoken at home (Spanish) (DP02_0116E),Language spoken at home (Spanish) - Percent (DP02_0116PE),FIPS_Place,FIPS_State
Oak Hills CDP,California,2032,20.8,52760,06
Bloomfield CDP,California,11,4.7,07036,06
Bloomington CDP,California,13364,64.0,07064,06
Blue Lake city,California,29,3.2,07162,06
Bluewater CDP,California,0,0.0,07172,06
Blythe city,California,7161,38.6,07218,06
Bodega CDP,California,0,0.0,07246,06
Bodega Bay CDP,California,341,31.9,07260,06
Bodfish CDP,California,131,6.3,07274,06
Bolinas CDP,California,35,3.0,07316,06
Bombay Beach CDP,California,0,0.0,07372,06
Bonadelle Ranchos CDP,California,839,17.2,07378,06
Bonita CDP,California,4330,36.2,07414,06
Bonny Doon CDP,California,225,7.8,07470,06
Bonsall CDP,California,688,17.6,07498,06
Boonville CDP,California,467,47.5,07512,06
Bootjack CDP,California,20,5.1,07525,06
Boron CDP,California,353,16.1,07568,06
Boronda CDP,California,1210,75.8,07578,06
Borrego Springs CDP,California,358,20.1,07596,06
Bostonia CDP,California,3731,23.0,07624,06
Boulder Creek CDP,California,230,4.5,07652,06
Boulevard CDP,California,0,0.0,07694,06
Bowles CDP,California,101,44.1,07750,06
Boyes Hot Springs CDP,California,3691,49.2,07848,06
Bradbury city,California,32,4.1,07946,06
Bradley CDP,California,10,10.1,07974,06
Brawley city,California,15313,66.1,08058,06
Brea city,California,5841,14.0,08100,06
Brentwood city,California,8020,13.3,08142,06
Bret Harte CDP,California,3720,83.1,08172,06
Bridgeport CDP,California,7,1.4,08240,06
Brisbane city,California,258,5.8,08310,06
Broadmoor CDP,California,735,18.2,08338,06
Brookdale CDP,California,0,0.0,08478,06
Brooks CDP,California,0,0.0,08506,06
Brooktrails CDP,California,492,12.3,08530,06
Buckhorn CDP,California,47,2.2,08680,06
Buck Meadows CDP,California,0,-666666666.0,08716,06
Bucks Lake CDP,California,21,100.0,08744,06
Buellton city,California,931,19.3,08758,06
Buena Park city,California,19436,25.1,08786,06
Buena Vista CDP,California,81,15.1,08828,06
Burbank city,California,14690,15.0,08954,06
Burbank CDP,California,1329,27.3,08968,06
Burlingame city,California,2221,7.9,09066,06
Burney CDP,California,106,3.2,09122,06
Burnt Ranch CDP,California,0,0.0,09150,06
Butte Creek Canyon CDP,California,0,0.0,09310,06
Butte Meadows CDP,California,0,0.0,09318,06
Butte Valley CDP,California,10,1.2,09324,06
Buttonwillow CDP,California,897,74.5,09332,06
Byron CDP,California,480,24.1,09346,06
Bystrom CDP,California,2450,69.3,09353,06
Cabazon CDP,California,651,31.5,09360,06
Calabasas city,California,876,3.8,09598,06
Calexico city,California,35069,94.5,09710,06
Oakhurst CDP,California,624,12.0,52764,06
Oakland city,California,85417,21.6,53000,06
Oakley city,California,7519,19.5,53070,06
Oak Park CDP,California,544,4.2,53116,06
Oak Run CDP,California,260,68.6,53140,06
Oak Shores CDP,California,13,4.0,53160,06
Oak View CDP,California,1141,18.3,53182,06
Oakville CDP,California,74,100.0,53196,06
Oasis CDP,California,2146,89.3,53224,06
Occidental CDP,California,4,0.5,53266,06
Oceano CDP,California,1902,26.7,53294,06
Oceanside city,California,43022,26.1,53322,06
Ocotillo CDP,California,0,0.0,53378,06
Oildale CDP,California,3810,11.6,53448,06
Ojai city,California,1003,13.5,53476,06
Olancha CDP,California,0,0.0,53490,06
Olde Stockdale CDP,California,0,0.0,53503,06
Old Fig Garden CDP,California,1219,23.1,53505,06
Old River CDP,California,66,100.0,53574,06
Old Station CDP,California,0,0.0,53602,06
Old Stine CDP,California,907,28.2,53603,06
Olivehurst CDP,California,3858,27.6,53714,06
Ono CDP,California,0,0.0,53882,06
Ontario city,California,82176,49.5,53896,06
Onyx CDP,California,0,0.0,53910,06
Orange city,California,35449,26.9,53980,06
Orange Blossom CDP,California,134,12.1,53987,06
Orange Cove city,California,7820,84.3,54008,06
Orangevale CDP,California,2195,6.7,54092,06
Orcutt CDP,California,4556,15.5,54120,06
Orick CDP,California,2,0.6,54218,06
Orinda city,California,491,2.6,54232,06
Orland city,California,3762,53.6,54274,06
Orosi CDP,California,6002,74.0,54372,06
Oroville city,California,1054,5.8,54386,06
Oroville East CDP,California,136,1.8,54388,06
Oxnard city,California,115885,59.8,54652,06
Pacheco CDP,California,604,13.2,54764,06
Pacifica city,California,3175,8.7,54806,06
Pacific Grove city,California,694,4.7,54848,06
Pajaro CDP,California,2668,85.5,55044,06
Pajaro Dunes CDP,California,31,13.2,55048,06
Pala CDP,California,274,27.7,55058,06
Palermo CDP,California,968,19.9,55086,06
Palmdale city,California,59898,42.3,55156,06
Palm Desert city,California,8375,16.3,55184,06
Palm Springs city,California,8582,18.2,55254,06
Palo Alto city,California,2535,3.9,55282,06
Palo Cedro CDP,California,24,0.9,55296,06
Palos Verdes Estates city,California,383,3.0,55380,06
Palo Verde CDP,California,0,0.0,55422,06
Panorama Heights CDP,California,0,0.0,55506,06
Paradise town,California,524,3.1,55520,06
Paradise CDP,California,23,13.7,55528,06
Paradise Park CDP,California,0,0.0,55604,06
Paramount city,California,37236,73.4,55618,06
Parklawn CDP,California,1611,92.5,55728,06
California City city,California,3104,23.7,09780,06
California Hot Springs CDP,California,0,0.0,09822,06
California Pines CDP,California,73,19.9,09834,06
California Polytechnic State University CDP,California,489,6.3,09835,06
Calimesa city,California,805,9.3,09864,06
Calipatria city,California,4170,59.4,09878,06
Calistoga city,California,1695,34.5,09892,06
Callender CDP,California,427,28.2,09948,06
Calpella CDP,California,234,38.0,09990,06
Calpine CDP,California,15,10.0,10004,06
Calwa CDP,California,1466,75.1,10032,06
Camanche North Shore CDP,California,40,3.6,10042,06
Camanche Village CDP,California,0,0.0,10044,06
Camarillo city,California,9110,14.1,10046,06
Cambria CDP,California,1023,18.9,10074,06
Cambrian Park CDP,California,136,4.7,10088,06
Cameron Park CDP,California,802,4.6,10256,06
Camino CDP,California,63,3.1,10270,06
Camino Tassajara CDP,California,113,2.0,10301,06
Campbell city,California,4283,10.7,10345,06
Camp Nelson CDP,California,0,-666666666.0,10494,06
Campo CDP,California,1027,32.6,10508,06
Camp Pendleton Mainside CDP,California,448,6.6,10554,06
Camp Pendleton South CDP,California,2176,16.4,10561,06
Camptonville CDP,California,25,15.2,10676,06
Canby CDP,California,35,11.9,10732,06
Cantua Creek CDP,California,284,85.3,10816,06
Canyondam CDP,California,0,-666666666.0,10914,06
Canyon Lake city,California,527,4.9,10928,06
Capitola city,California,1621,16.7,11040,06
Caribou CDP,California,0,-666666666.0,11166,06
Carlsbad city,California,9894,9.1,11194,06
Carmel-by-the-Sea city,California,218,5.9,11250,06
Carmel Valley Village CDP,California,44,1.1,11324,06
Carmet CDP,California,0,-666666666.0,11376,06
Carmichael CDP,California,4147,5.8,11390,06
Carnelian Bay CDP,California,80,14.2,11418,06
Carpinteria city,California,4253,33.8,11446,06
Carrick CDP,California,0,0.0,11481,06
Carson city,California,25772,29.8,11530,06
Cartago CDP,California,3,6.1,11600,06
Caruthers CDP,California,1186,56.6,11614,06
Casa Conejo CDP,California,274,9.2,11656,06
Casa de Oro-Mount Helix CDP,California,2414,13.3,11691,06
Casa Loma CDP,California,677,51.4,11696,06
Casmalia CDP,California,27,30.7,11754,06
Caspar CDP,California,0,0.0,11768,06
Cassel CDP,California,0,0.0,11782,06
Castaic CDP,California,2809,16.3,11796,06
Castella CDP,California,7,3.1,11824,06
Castle Hill CDP,California,0,0.0,11915,06
Castro Valley CDP,California,5919,9.7,11964,06
Castroville CDP,California,4633,80.3,11978,06
Cathedral City city,California,23125,44.8,12048,06
Catheys Valley CDP,California,39,5.6,12062,06
Cayucos CDP,California,96,4.4,12132,06
Parksdale CDP,California,1844,75.9,55751,06
Parkway CDP,California,5124,34.4,55800,06
Parkwood CDP,California,1275,57.1,55842,06
Parlier city,California,11780,82.8,55856,06
Pasadena city,California,35365,26.6,56000,06
Pasatiempo CDP,California,17,1.6,56028,06
Paskenta CDP,California,3,5.3,56042,06
Patterson city,California,10199,50.6,56112,06
Patterson Tract CDP,California,871,50.6,56120,06
Patton Village CDP,California,60,9.4,56140,06
Paxton CDP,California,0,-666666666.0,56182,06
Paynes Creek CDP,California,0,0.0,56196,06
Pearsonville CDP,California,0,-666666666.0,56294,06
Penngrove CDP,California,472,19.9,56476,06
Penn Valley CDP,California,65,6.1,56518,06
Penryn CDP,California,159,18.6,56546,06
Pepperdine University CDP,California,313,11.4,56598,06
Perris city,California,45575,64.2,56700,06
Pescadero CDP,California,145,38.2,56756,06
Petaluma city,California,9793,16.8,56784,06
Petaluma Center CDP,California,217,25.6,56786,06
Peters CDP,California,134,29.5,56798,06
Phelan CDP,California,3882,22.4,56826,06
Phillipsville CDP,California,0,0.0,56854,06
Philo CDP,California,23,14.7,56868,06
Phoenix Lake CDP,California,45,1.0,56870,06
Pico Rivera city,California,38117,63.9,56924,06
Piedmont city,California,311,2.9,56938,06
Pierpoint CDP,California,0,0.0,57011,06
Pike CDP,California,32,26.7,57036,06
Pine Canyon CDP,California,1281,44.5,57070,06
Pine Flat CDP,California,0,0.0,57134,06
Pine Grove CDP,California,132,6.6,57148,06
Pine Hills CDP,California,390,11.4,57204,06
Pine Mountain Club CDP,California,106,5.5,57240,06
Pine Mountain Lake CDP,California,148,5.5,57244,06
Pine Valley CDP,California,141,9.2,57260,06
Pinole city,California,2565,13.9,57288,06
Piñon Hills CDP,California,1053,16.4,57302,06
Pioneer CDP,California,60,5.1,57330,06
Piru CDP,California,1284,65.7,57372,06
Pismo Beach city,California,291,3.8,57414,06
Pittsburg city,California,21933,32.9,57456,06
Pixley CDP,California,3228,81.7,57512,06
Placentia city,California,11165,22.7,57526,06
Placerville city,California,1166,11.3,57540,06
Plainview CDP,California,436,77.4,57568,06
Planada CDP,California,2918,81.1,57582,06
Platina CDP,California,0,0.0,57666,06
Pleasant Hill city,California,2527,7.7,57764,06
Pleasanton city,California,4254,5.6,57792,06
Pleasure Point CDP,California,917,15.7,57825,06
Plumas Eureka CDP,California,16,4.8,57828,06
Plumas Lake CDP,California,888,13.2,57829,06
Plymouth city,California,246,24.6,57834,06
Point Arena city,California,98,25.1,57876,06
Cazadero CDP,California,39,12.3,12146,06
Cedar Flat CDP,California,0,0.0,12216,06
Cedar Ridge CDP,California,14,1.1,12300,06
Cedar Slope CDP,California,0,-666666666.0,12314,06
Cedarville CDP,California,155,22.7,12328,06
Centerville CDP (Fresno County),California,76,24.2,12412,06
Centerville CDP (Shasta County),California,48,2.3,12415,06
Ceres city,California,21124,46.9,12524,06
Cerritos city,California,4247,9.1,12552,06
Chalfant CDP,California,0,0.0,12594,06
Challenge-Brownsville CDP,California,0,0.0,12612,06
Channel Islands Beach CDP,California,242,9.0,12669,06
Charleston View CDP,California,0,0.0,12730,06
Charter Oak CDP,California,2699,28.7,12734,06
Cherokee CDP,California,0,0.0,12818,06
Cherokee Strip CDP,California,231,85.2,12860,06
Cherryland CDP,California,6372,42.2,12902,06
Cherry Valley CDP,California,960,12.4,12916,06
Chester CDP,California,133,6.5,12930,06
Chico city,California,10297,11.0,13014,06
Chilcoot-Vinton CDP,California,0,0.0,13077,06
China Lake Acres CDP,California,340,16.5,13157,06
Chinese Camp CDP,California,0,0.0,13182,06
Chino city,California,24420,29.2,13210,06
Chino Hills city,California,10235,13.2,13214,06
Choctaw Valley CDP,California,0,0.0,13278,06
Chowchilla city,California,6059,34.8,13294,06
Chualar CDP,California,1182,88.0,13364,06
Chula Vista city,California,118347,47.0,13392,06
Citrus CDP,California,5431,56.5,13560,06
Citrus Heights city,California,8697,10.5,13588,06
Claremont city,California,3579,10.5,13756,06
Clarksburg CDP,California,0,0.0,13784,06
Clay CDP,California,193,17.4,13854,06
Clayton city,California,468,4.2,13882,06
Clear Creek CDP,California,0,0.0,13910,06
Clearlake city,California,2777,19.1,13945,06
Clearlake Oaks CDP,California,77,3.8,13966,06
Clearlake Riviera CDP,California,722,17.8,13985,06
Cleone CDP,California,200,25.1,14008,06
Clio CDP,California,6,4.0,14106,06
Clipper Mills CDP,California,0,0.0,14148,06
Cloverdale city,California,1909,22.5,14190,06
Clovis city,California,13841,13.2,14218,06
Clyde CDP,California,14,2.0,14232,06
Coachella city,California,38500,89.2,14260,06
Coalinga city,California,6835,41.4,14274,06
Coarsegold CDP,California,143,3.1,14288,06
Cobb CDP,California,0,0.0,14302,06
Coffee Creek CDP,California,5,2.7,14406,06
Cohasset CDP,California,0,0.0,14442,06
Cold Springs CDP (El Dorado County),California,30,4.4,14450,06
Cold Springs CDP (Tuolumne County),California,0,-666666666.0,14454,06
Coleville CDP,California,20,6.2,14484,06
Colfax city,California,24,1.1,14498,06
College City CDP,California,156,76.1,14554,06
Point Reyes Station CDP,California,0,0.0,57960,06
Pollock Pines CDP,California,118,1.9,58030,06
Pomona city,California,76821,54.6,58072,06
Ponderosa CDP,California,18,41.9,58134,06
Poplar-Cotton Center CDP,California,1227,73.6,58191,06
Port Costa CDP,California,41,16.9,58226,06
Porterville city,California,27440,50.0,58240,06
Port Hueneme city,California,8382,41.5,58296,06
Portola city,California,112,7.1,58352,06
Portola Valley town,California,109,2.5,58380,06
Posey CDP,California,0,-666666666.0,58422,06
Poso Park CDP,California,0,0.0,58436,06
Post Mountain CDP,California,0,0.0,58456,06
Potomac Park CDP,California,7137,71.8,58471,06
Potrero CDP,California,230,100.0,58478,06
Potter Valley CDP,California,53,14.3,58506,06
Poway city,California,4820,10.3,58520,06
Prattville CDP,California,0,0.0,58618,06
Princeton CDP,California,32,9.5,58758,06
Proberta CDP,California,0,0.0,58814,06
Prunedale CDP,California,8291,42.5,58870,06
Pumpkin Center CDP,California,134,79.3,58940,06
Quartz Hill CDP,California,1751,17.8,59052,06
Quincy CDP,California,80,4.9,59080,06
Rackerby CDP,California,21,12.7,59115,06
Rail Road Flat CDP,California,0,0.0,59220,06
Rainbow CDP,California,535,25.4,59248,06
Raisin City CDP,California,233,67.1,59290,06
Ramona CDP,California,5233,25.8,59346,06
Rancho Calaveras CDP,California,308,5.1,59426,06
Rancho Cordova city,California,8949,13.1,59444,06
Rancho Cucamonga city,California,29849,18.0,59451,06
Rancho Mirage city,California,1242,6.8,59500,06
Rancho Mission Viejo CDP,California,315,4.8,59503,06
Rancho Murieta CDP,California,132,2.4,59506,06
Rancho Palos Verdes city,California,1420,3.6,59514,06
Rancho San Diego CDP,California,1479,7.3,59550,06
Rancho Santa Fe CDP,California,308,12.2,59584,06
Rancho Santa Margarita city,California,4986,11.0,59587,06
Rancho Tehama Reserve CDP,California,645,39.1,59604,06
Randsburg CDP,California,0,0.0,59668,06
Red Bluff city,California,1172,8.8,59892,06
Red Corral CDP,California,48,3.3,59896,06
Redcrest CDP,California,0,0.0,59906,06
Redding city,California,3449,4.0,59920,06
Redlands city,California,11613,17.4,59962,06
Redondo Beach city,California,5600,9.0,60018,06
Redway CDP,California,334,26.3,60088,06
Redwood City city,California,23380,29.4,60102,06
Redwood Valley CDP,California,428,24.0,60214,06
Reedley city,California,14015,60.7,60242,06
Reliez Valley CDP,California,123,3.8,60279,06
Rexland Acres CDP,California,2571,80.4,60370,06
Rialto city,California,52890,54.8,60466,06
Richfield CDP,California,37,13.6,60592,06
Richgrove CDP,California,1799,89.1,60606,06
Collierville CDP,California,773,35.3,14708,06
Colma town,California,399,29.0,14736,06
Coloma CDP,California,2,0.5,14764,06
Colton city,California,24457,48.7,14890,06
Columbia CDP,California,69,3.4,14904,06
Colusa city,California,2447,42.5,14946,06
Commerce city,California,9123,74.6,14974,06
Comptche CDP,California,0,0.0,15030,06
Compton city,California,57533,65.0,15044,06
Concord city,California,25694,21.5,16000,06
Concow CDP,California,59,12.9,16035,06
Contra Costa Centre CDP,California,182,2.8,16090,06
Copperopolis CDP,California,250,7.6,16210,06
Corcoran city,California,10337,49.5,16224,06
Corning city,California,3491,51.2,16322,06
Corona city,California,49581,31.5,16350,06
Coronado city,California,2230,9.5,16378,06
Coronita CDP,California,1545,41.5,16420,06
Corralitos CDP,California,418,19.2,16434,06
Corte Madera town,California,222,2.4,16462,06
Costa Mesa city,California,30807,29.0,16532,06
Cotati city,California,1110,15.6,16560,06
Coto de Caza CDP,California,513,3.4,16580,06
Cottonwood CDP (Kern County),California,1782,68.2,16623,06
Cottonwood CDP (Shasta County),California,246,4.8,16630,06
Coulterville CDP,California,0,0.0,16644,06
Country Club CDP,California,2242,25.8,16651,06
Courtland CDP,California,22,5.1,16714,06
Covelo CDP,California,383,33.0,16728,06
Covina city,California,16533,36.6,16742,06
Cowan CDP,California,105,23.2,16762,06
Crane Creek CDP,California,0,0.0,16886,06
Crescent City city,California,605,9.5,17022,06
Crescent Mills CDP,California,15,21.4,17050,06
Cressey CDP,California,61,30.2,17078,06
Crest CDP,California,414,15.9,17106,06
Crestline CDP,California,463,5.2,17162,06
Creston CDP,California,6,19.4,17232,06
C-Road CDP,California,0,0.0,17267,06
Crockett CDP,California,239,7.8,17274,06
Cromberg CDP,California,0,0.0,17288,06
Crowley Lake CDP,California,174,20.4,17372,06
Crows Landing CDP,California,264,76.3,17428,06
Cudahy city,California,19467,89.6,17498,06
Culver City city,California,6011,16.4,17568,06
Cupertino city,California,1199,2.1,17610,06
Cutler CDP,California,4327,87.7,17708,06
Cutten CDP,California,106,3.3,17722,06
Cuyama CDP,California,7,63.6,17727,06
Cypress city,California,4759,10.3,17750,06
Dales CDP,California,0,-666666666.0,17876,06
Daly City city,California,16392,16.0,17918,06
Dana Point city,California,2971,9.2,17946,06
Danville town,California,868,2.0,17988,06
Daphnedale Park CDP,California,0,0.0,17995,06
Darwin CDP,California,0,0.0,18030,06
Richmond city,California,40158,38.7,60620,06
Richvale CDP,California,0,0.0,60662,06
Ridgecrest city,California,3197,11.6,60704,06
Ridgecrest Heights CDP,California,0,0.0,60705,06
Ridgemark CDP,California,167,6.6,60706,06
Rio Dell city,California,40,1.3,60900,06
Rio del Mar CDP,California,512,5.5,60928,06
Rio Linda CDP,California,1581,10.5,60942,06
Rio Oso CDP,California,2,0.5,60970,06
Rio Vista city,California,1031,11.1,60984,06
Ripley CDP,California,310,73.1,61012,06
Ripon city,California,1768,11.8,61026,06
Riverbank city,California,10737,47.1,61068,06
Riverdale CDP,California,1552,63.1,61096,06
Riverdale Park CDP,California,874,73.4,61106,06
Rivergrove CDP,California,0,0.0,61108,06
River Pines CDP,California,19,4.8,61124,06
Riverside city,California,113406,36.9,62000,06
Robbins CDP,California,243,58.6,62168,06
Robinson Mill CDP,California,0,0.0,62200,06
Rocklin city,California,3062,4.9,62364,06
Rodeo CDP,California,1675,18.1,62490,06
Rodriguez Camp CDP,California,61,100.0,62496,06
Rohnert Park city,California,6688,16.9,62546,06
Rolling Hills city,California,60,4.3,62602,06
Rolling Hills CDP,California,48,6.8,62625,06
Rolling Hills Estates city,California,221,2.9,62644,06
Rollingwood CDP,California,2160,62.5,62700,06
Romoland CDP,California,1812,71.8,62756,06
Rosamond CDP,California,5258,27.7,62826,06
Rosedale CDP,California,1992,11.3,62854,06
Rose Hills CDP,California,797,31.2,62860,06
Rosemead city,California,11873,23.5,62896,06
Rosemont CDP,California,2503,11.1,62910,06
Roseville city,California,7299,5.6,62938,06
Ross town,California,28,1.2,62980,06
Rossmoor CDP,California,478,4.2,63050,06
Rough and Ready CDP,California,0,0.0,63106,06
Round Mountain CDP,California,9,9.0,63134,06
Round Valley CDP,California,103,21.6,63148,06
Rouse CDP,California,956,64.6,63168,06
Rowland Heights CDP,California,8417,18.2,63218,06
Rumsey CDP,California,0,0.0,63302,06
Running Springs CDP,California,303,7.4,63316,06
Ruth CDP,California,26,12.2,63386,06
Rutherford CDP,California,58,58.0,63400,06
Sacramento city,California,78568,16.7,64000,06
Sage CDP,California,304,12.6,64056,06
St. Helena city,California,956,16.8,64140,06
Salida CDP,California,4919,34.8,64210,06
Salinas city,California,95465,66.8,64224,06
Salmon Creek CDP,California,0,0.0,64252,06
Salton City CDP,California,3107,56.3,64294,06
Salton Sea Beach CDP,California,44,16.2,64308,06
Salyer CDP,California,6,1.6,64378,06
Samoa CDP,California,3,1.5,64392,06
Davenport CDP,California,149,30.2,18086,06
Davis city,California,4697,7.1,18100,06
Day Valley CDP,California,61,1.8,18153,06
Deer Park CDP,California,73,9.6,18324,06
Del Aire CDP,California,3210,32.1,18352,06
Delano city,California,29481,60.5,18394,06
Del Dios CDP,California,32,10.6,18422,06
Delft Colony CDP,California,805,68.6,18450,06
Delhi CDP,California,7404,68.5,18464,06
Delleker CDP,California,115,20.7,18485,06
Del Mar city,California,34,0.8,18506,06
Del Monte Forest CDP,California,177,4.8,18590,06
Del Rey CDP,California,876,76.0,18674,06
Del Rey Oaks city,California,88,6.0,18688,06
Del Rio CDP,California,108,9.1,18695,06
Denair CDP,California,2028,36.1,18856,06
Derby Acres CDP,California,52,20.5,18926,06
Descanso CDP,California,48,3.6,18940,06
Desert Center CDP,California,79,28.5,18982,06
Desert Edge CDP,California,826,23.8,18986,06
Desert Hot Springs city,California,10669,39.1,18996,06
Desert Palms CDP,California,274,4.2,19022,06
Desert Shores CDP,California,218,53.0,19024,06
Desert View Highlands CDP,California,1759,55.0,19052,06
Diablo CDP,California,0,0.0,19150,06
Diablo Grande CDP,California,94,11.0,19155,06
Diamond Bar city,California,5293,10.0,19192,06
Diamond Springs CDP,California,548,5.0,19220,06
Di Giorgio CDP,California,320,90.4,19248,06
Dillon Beach CDP,California,0,0.0,19262,06
Dinuba city,California,14672,66.2,19318,06
Discovery Bay CDP,California,887,5.9,19339,06
Dixon city,California,5561,29.4,19402,06
Dixon Lane-MeadowCreek CDP,California,787,29.9,19406,06
Dobbins CDP,California,13,10.8,19416,06
Dogtown CDP,California,815,28.4,19440,06
Dollar Point CDP,California,16,1.8,19455,06
Dorrington CDP,California,0,0.0,19570,06
Dorris city,California,254,32.7,19584,06
Dos Palos city,California,2331,48.0,19612,06
Dos Palos Y CDP,California,139,72.0,19654,06
Douglas City CDP,California,0,0.0,19724,06
Downey city,California,60615,57.8,19766,06
Downieville CDP,California,0,0.0,19794,06
Doyle CDP,California,0,0.0,19878,06
Drytown CDP,California,0,0.0,19976,06
Duarte city,California,7997,39.2,19990,06
Dublin city,California,3530,6.0,20018,06
Ducor CDP,California,466,83.7,20032,06
Dunnigan CDP,California,571,43.8,20228,06
Dunsmuir city,California,73,4.6,20242,06
Durham CDP,California,317,5.2,20270,06
Dustin Acres CDP,California,5,1.0,20284,06
Dutch Flat CDP,California,0,0.0,20298,06
Eagleville CDP,California,0,0.0,20424,06
Earlimart CDP,California,6958,84.7,20438,06
San Andreas CDP,California,18,0.5,64420,06
San Anselmo town,California,96,0.8,64434,06
San Antonio Heights CDP,California,192,6.4,64462,06
San Ardo CDP,California,343,69.4,64476,06
San Bernardino city,California,93016,46.3,65000,06
San Bruno city,California,9387,22.0,65028,06
San Buenaventura (Ventura) city,California,21657,21.1,65042,06
San Carlos city,California,1165,4.2,65070,06
San Clemente city,California,5628,9.1,65084,06
Sand City city,California,86,28.3,65112,06
San Diego city,California,293883,22.0,66000,06
San Diego Country Estates CDP,California,735,8.0,66004,06
San Dimas city,California,4883,15.2,66070,06
San Fernando city,California,17191,75.8,66140,06
San Francisco city,California,88425,10.6,67000,06
San Gabriel city,California,5451,14.3,67042,06
Sanger city,California,12012,48.6,67056,06
San Geronimo CDP,California,0,0.0,67070,06
San Jacinto city,California,18113,39.8,67112,06
San Joaquin city,California,3167,87.0,67126,06
San Jose city,California,214611,22.1,68000,06
San Juan Bautista city,California,446,25.0,68014,06
San Juan Capistrano city,California,10231,29.9,68028,06
San Leandro city,California,16069,18.6,68084,06
San Lorenzo CDP,California,7972,28.0,68112,06
San Lucas CDP,California,299,81.7,68140,06
San Luis Obispo city,California,5033,11.0,68154,06
San Marcos city,California,24803,27.8,68196,06
San Marino city,California,605,4.9,68224,06
San Martin CDP,California,2459,38.9,68238,06
San Mateo city,California,17580,18.2,68252,06
San Miguel CDP (Contra Costa County),California,115,3.7,68263,06
San Miguel CDP (San Luis Obispo County),California,1503,61.1,68266,06
San Pablo city,California,15627,53.2,68294,06
San Pasqual CDP,California,300,15.4,68308,06
San Rafael city,California,13822,24.5,68364,06
San Ramon city,California,2541,3.3,68378,06
San Simeon CDP,California,301,66.6,68434,06
Santa Ana city,California,209183,67.4,69000,06
Santa Barbara city,California,24327,28.1,69070,06
Santa Clara city,California,11486,9.7,69084,06
Santa Clarita city,California,40135,20.4,69088,06
Santa Cruz city,California,9008,14.3,69112,06
Santa Fe Springs city,California,7362,44.7,69154,06
Santa Margarita CDP,California,0,0.0,69182,06
Santa Maria city,California,57187,60.2,69196,06
Santa Monica city,California,9665,11.1,70000,06
Santa Nella CDP,California,768,41.2,70028,06
Santa Paula city,California,17769,64.1,70042,06
Santa Rosa city,California,42043,24.9,70098,06
Santa Rosa Valley CDP,California,40,1.5,70130,06
Santa Susana CDP,California,68,7.4,70140,06
Santa Venetia CDP,California,86,2.4,70154,06
Santa Ynez CDP,California,689,14.8,70182,06
Santee city,California,4121,7.7,70224,06
Eastern Goleta Valley CDP,California,4119,14.4,20574,06
East Foothills CDP,California,1289,19.6,20598,06
East Hemet CDP,California,5913,31.8,20697,06
East Los Angeles CDP,California,96523,85.7,20802,06
East Nicolaus CDP,California,3,1.9,20900,06
East Niles CDP,California,17265,61.6,20903,06
East Oakdale CDP,California,27,1.1,20907,06
Easton CDP,California,936,44.6,20928,06
East Orosi CDP,California,364,63.7,20942,06
East Palo Alto city,California,15117,55.2,20956,06
East Pasadena CDP,California,1672,29.9,20984,06
East Porterville CDP,California,3381,69.9,21012,06
East Quincy CDP,California,104,4.6,21026,06
East Rancho Dominguez CDP,California,11295,78.7,21034,06
East Richmond Heights CDP,California,280,8.4,21061,06
East San Gabriel CDP,California,3337,15.4,21096,06
East Shore CDP,California,0,0.0,21138,06
East Sonora CDP,California,75,2.9,21188,06
East Tulare Villa CDP,California,401,50.3,21210,06
Eastvale city,California,14096,23.6,21230,06
East Whittier CDP,California,2465,25.7,21292,06
Edgewood CDP,California,0,0.0,21530,06
Edison CDP,California,0,0.0,21544,06
Edmundson Acres CDP,California,228,72.8,21558,06
Edna CDP,California,0,0.0,21565,06
Edwards AFB CDP,California,186,9.1,21600,06
El Adobe CDP,California,89,75.4,21691,06
El Cajon city,California,18065,18.9,21712,06
El Centro city,California,29595,73.4,21782,06
El Centro Naval Air Facility CDP,California,60,11.0,21788,06
El Cerrito city,California,1533,6.5,21796,06
El Cerrito CDP,California,1818,36.6,21810,06
El Dorado Hills CDP,California,1228,2.8,21880,06
Eldridge CDP,California,119,12.4,21894,06
Elfin Forest CDP,California,48,10.9,21916,06
El Granada CDP,California,380,6.4,21936,06
Elizabeth Lake CDP,California,264,16.7,21964,06
Elk Creek CDP,California,0,0.0,22006,06
Elk Grove city,California,13614,8.4,22020,06
Elkhorn CDP,California,272,27.4,22034,06
El Macero CDP,California,84,8.1,22104,06
East Bakersfield CDP,California,6149,66.7,20515,06
Elmira CDP,California,35,15.0,22146,06
El Monte city,California,57731,54.0,22230,06
El Monte Mobile Village CDP,California,0,-666666666.0,22235,06
El Nido CDP,California,227,91.2,22286,06
El Paso de Robles (Paso Robles) city,California,6405,21.7,22300,06
El Portal CDP,California,0,0.0,22328,06
El Rancho CDP,California,0,-666666666.0,22360,06
El Rio CDP,California,3309,54.4,22370,06
El Segundo city,California,1453,9.3,22412,06
El Sobrante CDP (Contra Costa County),California,3111,22.2,22454,06
El Sobrante CDP (Riverside County),California,1753,14.3,22457,06
El Verano CDP,California,369,12.2,22510,06
Elverta CDP,California,277,5.6,22524,06
Saratoga city,California,414,1.4,70280,06
Saticoy CDP,California,1103,69.0,70322,06
Sattley CDP,California,0,0.0,70336,06
